Gene	Brain_1.CEL	Brain_2.CEL	Fetal_brain_1.CEL	Fetal_brain_2.CEL	Fetal_liver_1.CEL	Fetal_liver_2.CEL	Liver_1.CEL	Liver_2.CEL
100_g_at	120.25	255	3.5	31	6.5	-8.25	19.15	73
1000_at	583.6	885.4	253.65	293.35	201.2	433.75	134.25	251.15
1001_at	35.85	40.5	47.2	33.05	86.35	119.25	37.1	72.1
1002_f_at	17.6	19.85	11.1	23.1	38.75	94.6	452.1	662.5
1003_s_at	0.15	26.4	78	36	89.5	34	22.75	100
1004_at	34.7	77.75	-12	16.9	121.75	24.25	30	54.35
1005_at	102.75	440.5	119.1	125	1181.85	3128.4	544.25	1305.45
1006_at	-21.1	6.25	-28	-29.15	0.5	2.5	-32.25	-76.6
1007_s_at	973	1954.4	809.5	1001.5	108	216.55	108.4	110.9
1008_f_at	397.25	744	399.65	512.25	740.85	1110.5	1031.9	1034.65
1009_at	970.9	3426.75	704.85	983.1	1246.15	2776.4	801	1296.75
101_at	-7.4	36.35	-52.85	-12.6	0.25	34	21.35	-35.25
1010_at	-36	-55	-50.1	-48.4	-45.7	-115.8	-39	-94.75
1011_s_at	291.75	257.25	441.85	558.6	77.75	195.6	28.75	84.35
1012_at	-19	5.75	-3.35	11.15	-8.65	-12.15	-22.35	-69.85
1013_at	27.25	1.15	45.05	64	24.35	87.85	7	4.25
1014_at	156.25	212.4	90.5	108.5	112	159.35	-26	-40
1015_s_at	-22.75	19.65	-11.1	-72	-47.25	-83.85	-19.15	-146.5
1016_s_at	8.5	6	20.1	19.15	13.25	26.25	18.85	20
1017_at	31.75	46.5	95.25	136	31	41.35	13.6	-2.5
1018_at	187.85	226.5	171.15	89.4	91.75	68.5	-40	-12.15
1019_g_at	296.75	628.45	302.5	317.25	49.25	33	78.65	142.85
102_at	-5.35	25.35	13.15	22.5	15.5	-9.6	15.75	-1
1020_s_at	194.85	321.15	110.85	165.15	307.25	635.75	346.75	777.85
1021_at	23.25	21.25	39.15	15.4	29.9	48.9	26.75	56.6
1022_f_at	0.25	12.35	13.35	-10.35	16.55	31.25	16.55	41.75
1023_at	-22.65	-27.5	-50.25	-11.85	13.5	-18.9	15.6	-52.9
1024_at	58.65	42	50.5	91.35	66.25	72.65	83.5	146.35
1025_g_at	11.05	16.25	13.1	-3	0.15	2	60	87
1026_s_at	57.15	51.5	23.5	-56.5	67.35	97.5	74.6	153.65
1027_at	39.85	18.1	68	74.5	33	-22.25	8.1	57.5
1028_at	57.5	41.75	43.35	21.95	55.6	85.6	20	119.75
1029_s_at	-37.6	15.35	-10.75	-7.85	-48.1	-23	-2.75	12.35
103_at	24	24.85	-33.1	-15.5	-36.1	-63	-7.75	5.85
1030_s_at	149	213.75	450	535.5	265.1	685.5	51.5	45.9
1031_at	31.5	33.55	175.4	209.85	22	65.85	4.1	12.4
1032_at	186	169.85	207.9	222	555.4	550.85	189.15	985.25
1033_g_at	-1.4	77.5	31.75	-68.5	88	100.9	29.75	161.4
1034_at	61.5	249.75	154.15	123.5	239.15	470.1	119.75	170.5
1035_g_at	74.25	197.65	151.5	174	293.5	775.5	87.9	254.4
1036_at	12.1	-3.6	-0.65	-1.6	-5.4	1.15	14.5	15
1037_at	0.65	0.4	6.9	17.5	13.5	7.65	14.5	4.6
1038_s_at	79.15	102.6	156.35	221.35	108	339.5	13.5	12.15
1039_s_at	81.9	41.25	163.6	310.15	50.75	129.75	14.8	16.35
104_at	38.4	76.4	42.5	81.5	18	1.65	2.9	2.25
